INCIDENT_KEY,YEAR
9953246,2006
9953247,2006
9953250,2006
9953250,2006
9953252,2006
9953245,2006
9953248,2006
139716503,2006
9953255,2006
9953255,2006
9953257,2006
9953249,2006
9953259,2006
9953258,2006
10038625,2006
9953261,2006
10038627,2006
10038624,2006
10038629,2006
10038630,2006
10038634,2006
10038633,2006
10038632,2006
10038631,2006
10038637,2006
10038637,2006
10038635,2006
10038638,2006
10038640,2006
10038645,2006
10038642,2006
10038643,2006
10038644,2006
10038641,2006
10038649,2006
10137411,2006
10137411,2006
10137411,2006
10137408,2006
10137408,2006
10038648,2006
10038647,2006
10137410,2006
10137413,2006
10137414,2006
10137414,2006
10137412,2006
10137412,2006
10137416,2006
10137418,2006
10137417,2006
10137421,2006
10137429,2006
10137426,2006
10137425,2006
10137424,2006
10137422,2006
10137422,2006
10137423,2006
10137431,2006
10137430,2006
10137428,2006
10137427,2006
10137434,2006
10137432,2006
10137432,2006
10137433,2006
10187489,2006
10187488,2006
10187486,2006
10137435,2006
10187487,2006
10187493,2006
10187492,2006
10187492,2006
10187490,2006
10187491,2006
10187494,2006
10187495,2006
10187501,2006
10187502,2006
10187497,2006
10187497,2006
10187497,2006
10187497,2006
10187498,2006
10187500,2006
10187496,2006
10187499,2006
10187504,2006
10187505,2006
10187506,2006
10187515,2006
10187514,2006
10187508,2006
10187513,2006
10187510,2006
10187511,2006
10187517,2006
10187518,2006
10187512,2006
10187519,2006
10187519,2006
10187516,2006
10187509,2006
10240239,2006
10187521,2006
10187520,2006
10240241,2006
10240243,2006
10240242,2006
10240246,2006
10240245,2006
10240245,2006
10240245,2006
10240248,2006
10240252,2006
10240253,2006
10240254,2006
10240251,2006
10240257,2006
10240262,2006
10240261,2006
10240256,2006
10333306,2006
10240263,2006
10240260,2006
10333308,2006
10333307,2006
10333312,2006
10333318,2006
10333315,2006
10333309,2006
10333309,2006
10333324,2006
10333314,2006
10333319,2006
10333317,2006
10333322,2006
10333320,2006
10333326,2006
10333325,2006
10333325,2006
10333325,2006
10333325,2006
10333327,2006
10333329,2006
10333341,2006
10333328,2006
10333328,2006
10333332,2006
10333333,2006
10333330,2006
10333339,2006
10333338,2006
10333338,2006
10333334,2006
10333343,2006
10333343,2006
